date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:45	38540/38540	---M-Z	200	added ('OK')	text/html	etag:%22968c-5aa01d7a73f9d-gzip%22	https://mannatthemes.com/dastyle/default/index.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/index.html	(from )
19:30:46	279/279	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Aug%202020%2014:00:46%20GMT	https://mannatthemes.com/robots.txt		(from )
19:30:46	119771/119771	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221d3db-5aa01d7a616bc%22	https://mannatthemes.com/dastyle/default/assets/images/favicon.ico	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/images/favicon.ico	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:46	6578/6578	---M-Z	200	added ('OK')	text/css	etag:%2219b2-5aa01d7a9339f-gzip%22	https://mannatthemes.com/dastyle/plugins/jvectormap/jquery-jvectormap-2.0.2.css	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/plugins/jvectormap/jquery-jvectormap-2.0.2.css	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:47	195461/195461	---M-Z	200	added ('OK')	text/css	etag:%222fb85-5aa01d7a3c4f9-gzip%22	https://mannatthemes.com/dastyle/default/assets/css/bootstrap.min.css	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/css/bootstrap.min.css	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:47	30747/30747	---M-Z	200	added ('OK')	text/css	etag:%22781b-5aa01d7a3f3da-gzip%22	https://mannatthemes.com/dastyle/default/assets/css/jquery-ui.min.css	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/css/jquery-ui.min.css	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:47	412498/412498	---MCZ	200	added ('OK')	text/css	etag:%2264b52-5aa01d7a3e439-gzip%22	https://mannatthemes.com/dastyle/default/assets/css/icons.min.css	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/css/icons.min.css	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:47	2184/2184	---M-Z	200	added ('OK')	text/css	etag:%22888-5aa01d7a3f3da-gzip%22	https://mannatthemes.com/dastyle/default/assets/css/metisMenu.min.css	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/css/metisMenu.min.css	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:48	7659/7659	---M-Z	200	added ('OK')	text/css	etag:%221deb-5aa01d7a8781e-gzip%22	https://mannatthemes.com/dastyle/plugins/daterangepicker/daterangepicker.css	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/plugins/daterangepicker/daterangepicker.css	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:48	160520/160520	---M-Z	200	added ('OK')	text/css	etag:%2227308-5aa5146bc0bb5-gzip%22	https://mannatthemes.com/dastyle/default/assets/css/app.min.css	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/assets/css/app.min.css	(from https://mannatthemes.com/dastyle/default/index.html)
19:30:48	279/279	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Aug%202020%2014:00:49%20GMT	https://mannatthemes.com/dastyle/default/dashboard/crm-index.html	C:/Users/animesh/Desktop/newTheme/mannatthemes.com/dastyle/default/dashboard/crm-index.html	(from https://mannatthemes.com/dastyle/default/index.html)
